Hawaii Ocean Time-series : 07-Sep-2023 04:08:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pn, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0040200812, 022889, 211837,    5.0,  0.255,
0040200810, 022889, 211542,   42.0,  0.180,
0040200809, 022889, 211414,   71.8,  0.242,
0040200808, 022889, 211234,  100.2,  0.227,
0040200807, 022889, 211106,  126.4,  0.120,
0040200806, 022889, 210941,  148.4,  0.113,
0060200812, 051889, 225802,    1.3,  0.272,
0060200811, 051889, 225524,   20.8,  0.300,
0060200810, 051889, 225259,   40.9,  0.293,
0060200809, 051889, 225112,   73.5,  0.223,
0060200808, 051889, 224937,   98.2,  0.272,
0060200807, 051889, 224811,  125.2,  0.209,
0060200806, 051889, 224640,  149.8,  0.098,
0080201412, 073089, 221704,    7.6,  0.293,
0080201411, 073089, 221553,   27.8,  0.301,
0080201410, 073089, 221444,   47.4,  0.326,
0080201409, 073089, 221321,   76.2,  0.218,
0080201408, 073089, 221202,  105.0,  0.236,
0080201407, 073089, 221049,  129.8,  0.205,
0090201812, 082589, 195735,    6.1,  0.317,
0090201811, 082589, 195537,   26.3,  0.348,
0090201810, 082589, 195429,   46.9,  0.310,
0090201809, 082589, 195311,   77.2,  0.284,
0090201808, 082589, 195155,  103.2,  0.264,
0090201807, 082589, 195041,  130.1,  0.219,
0090202206, -00009, -00009,    7.4,  0.357,
0090202205, -00009, -00009,   49.2,  0.345,
0090202204, -00009, -00009,  106.8,  0.279,
0100201507, 092489, 001828,   78.0,  0.398,
0100201506, 092489, 001704,  104.1,  0.237,
0110201823, 102089, 053844,   25.1,  0.363,
0110201821, 102089, 053720,   45.3,  0.314,
0110201819, 102089, 053606,   75.7,  0.251,
0110201817, 102089, 053433,  101.3,  0.314,
0110201816, 102089, 053318,  128.2,  0.209,
0130201519, 010690, 214655,    4.9,  0.181,
0130201516, 010690, 214417,   25.5,  0.204,
0130201515, 010690, 214402,   25.4,  0.175,
0130201514, 010690, 214350,   25.6,  0.203,
0130201513, 010690, 214225,   46.1,  0.216,
0130201512, 010690, 214113,   75.6,  0.192,
0130201511, 010690, 213954,  102.1,  0.109,
0130201509, 010690, 213923,  102.0,  0.096,
0130201508, 010690, 213756,  126.7,  0.084,
0140200218, 021590, 003816,    6.4,  0.258,
0140200217, 021590, 003705,   25.6,  0.251,
0140200216, 021590, 003603,   45.9,  0.272,
0140200215, 021590, 003452,   76.1,  0.279,
0140200213, 021590, 003215,  125.9,  0.153,
0150201814, 032190, 030808,    4.7,  0.286,
0150201812, 032190, 030437,   24.6,  0.279,
0150201811, 032190, 030335,   44.2,  0.286,
0150201810, 032190, 030223,   73.7,  0.300,
0150201809, 032190, 030058,  104.3,  0.272,
0150201808, 032190, 025913,  128.9,  0.153,
0160200417, 041390, 000102,    6.4,  0.300,
0160200416, 041390, 000045,    6.3,  0.307,
0160200415, 041290, 235910,    6.3,  0.314,
0160200414, 041290, 235849,   31.1,  0.307,
0160200413, 041290, 235722,   31.0,  0.314,
0160200412, 041290, 235538,   45.6,  0.293,
0160200411, 041290, 235402,   75.7,  0.230,
0160200410, 041290, 235230,  101.5,  0.216,
0160200407, 041290, 234928,  143.2,  0.174,
0170201112, 050990, 215906,    8.2,  0.321,
0170201111, 050990, 215803,   28.0,  0.370,
0170201110, 050990, 215657,   48.8,  0.335,
0170201109, 050990, 215537,   79.6,  0.321,
0170201108, 050990, 215422,  105.3,  0.300,
0170201107, 050990, 215236,  130.7,  0.167,
0180200412, 061390, 041349,   11.5,  0.300,
0180200411, 061390, 041251,   27.3,  0.314,
0180200410, 061390, 041150,   47.4,  0.342,
0180200409, 061390, 041019,   78.1,  0.307,
0180200408, 061390, 040909,  104.0,  0.237,
0180200407, 061390, 040755,  129.4,  0.258,
0190201213, 072690, 030649,    6.0,  0.384,
0190201211, 072690, 030419,   27.0,  0.370,
0190201210, 072690, 030244,   46.3,  0.349,
0190201208, 072690, 025931,  102.3,  0.293,
0190201207, 072690, 025715,  130.5,  0.153,
0220200923, 121890, 231423,    6.6,  0.237,
0220200922, 121890, 231207,   28.5,  0.244,
0220200921, 121890, 231056,   45.7,  0.237,
0220200920, 121890, 230926,   76.5,  0.237,
0220200919, 121890, 230758,  102.0,  0.206,
0220200914, 121890, 230319,  128.3,  0.139,
0230200617, 020491, 014603,    6.9,  0.209,
0230200616, 020491, 014450,   26.6,  0.188,
0230200615, 020491, 014433,   26.6,  0.181,
0230200614, 020491, 014325,   46.5,  0.195,
0230200613, 020491, 014204,   76.2,  0.188,
0230200612, 020491, 014038,  105.7,  0.167,
0230200611, 020491, 014021,  105.7,  0.174,
0230200610, 020491, 013856,  129.7,  0.132,
0240200322, 030791, 191250,   14.9,  0.279,
0240200321, 030791, 191113,   30.8,  0.265,
0240200319, 030791, 190833,   48.0,  0.230,
0240200317, 030791, 190535,   77.9,  0.244,
0240200315, 030791, 190202,  106.7,  0.230,
0240200313, 030791, 185908,  127.4,  0.230,
0250200315, 041091, 020033,    7.6,  0.279,
0250200314, 041091, 015859,   28.8,  0.286,
0250200313, 041091, 015800,   47.9,  0.300,
0250200312, 041091, 015644,   77.3,  0.265,
0250200311, 041091, 015538,  101.6,  0.293,
0250200310, 041091, 015445,  111.4,  0.286,
0250200309, 041091, 015356,  118.7,  0.251,
0250200308, 041091, 015302,  129.2,  0.237,
0250201107, 041191, 020519,   13.0,  0.300,
0250201106, 041191, 020505,   13.1,  0.272,
0250201105, 041191, 020435,   13.1,  0.279,
0250201104, 041191, 020422,   12.9,  0.265,
0260200511, 050891, 184247,   79.0,  0.411,
0260200510, 050891, 184125,  105.2,  0.335,
0260200508, 050891, 183910,  129.9,  0.314,
0270200314, 060491, 225147,   26.2,  0.265,
0270200313, 060491, 225048,   48.5,  0.272,
0270200312, 060491, 224938,   78.5,  0.453,
0270200310, 060491, 224755,  103.3,  0.209,
0270200309, 060491, 224703,  119.1,  0.272,
0270200308, 060491, 224609,  128.7,  0.098,
0270200307, 060491, 224517,  140.9,  0.105,
0270200414, 060591, 013352,  130.6,  0.418,
0280200311, 071091, 001219,   27.1,  0.425,
0280200310, 071091, 001115,   49.1,  0.481,
0280200309, 071091, 000953,   78.1,  0.453,
0280200308, 071091, 000840,  106.1,  0.300,
0280200307, 071091, 000728,  128.9,  0.453,
0290200316, 081091, 005214,    8.3,  0.265,
0290200315, 081091, 005100,   24.0,  0.370,
0290200314, 081091, 004950,   44.6,  0.286,
0290200313, 081091, 004843,   62.7,  0.404,
0290200312, 081091, 004715,   80.1,  0.314,
0290200311, 081091, 004557,  102.6,  0.153,
0290200310, 081091, 004412,  144.4,  0.139,
0300200319, 091791, 232634,   27.0,  0.397,
0310200720, 102191, 180622,    6.7,  0.265,
0310200718, 102191, 180441,   26.2,  0.335,
0310200716, 102191, 180311,   46.2,  0.244,
0310200714, 102191, 180128,   76.9,  0.307,
0310200712, 102191, 175955,  101.5,  0.293,
0310200711, 102191, 175834,  122.0,  0.230,
0310200710, 102191, 175733,  127.1,  0.230,
0320200317, 120691, 012740,    6.8,  0.286,
0330200613, -00009, -00009,   25.8,  0.286,
0330200612, -00009, -00009,   46.1,  0.279,
0330200611, -00009, -00009,   76.3,  0.279,
0330200610, -00009, -00009,  100.4,  0.293,
0330200609, -00009, -00009,  126.5,  0.216,
0340200623, 021492, 182033,   27.2,  0.307,
0340200622, 021492, 181928,   47.4,  0.220,
0340200621, 021492, 181829,   78.1,  0.181,
0340200620, 021492, 181716,   83.5,  0.188,
0340200618, 021492, 181534,  124.3,  0.028,
0340200616, 021492, 181346,  134.2,  0.042,
0350200520, -00009, -00009,    5.6,  0.209,
0350200519, -00009, -00009,   26.2,  0.206,
0350200518, -00009, -00009,   46.6,  0.153,
0350200517, -00009, -00009,   76.3,  0.202,
0350200516, -00009, -00009,  102.6,  0.230,
0350200515, -00009, -00009,  120.6,  0.105,
0350200514, -00009, -00009,  122.6,  0.132,
0350200513, -00009, -00009,  128.0,  0.112,
0350200512, -00009, -00009,  135.9,  0.119,
0350200511, -00009, -00009,  141.1,  0.251,
0350200510, -00009, -00009,  146.4,  0.251,
0360200312, -00009, -00009,    7.1,  0.349,
0360200311, -00009, -00009,   28.5,  0.363,
0360200310, -00009, -00009,   49.2,  0.376,
0360200309, -00009, -00009,   78.2,  0.467,
0360200308, -00009, -00009,  101.5,  0.523,
0360200307, -00009, -00009,  127.1,  0.579,
0360201220, -00009, -00009,    7.5,  0.474,
0360201215, -00009, -00009,   27.9,  0.739,
0370200722, 060992, 175225,    8.6,  0.202,
0370200721, 060992, 175125,   28.5,  0.234,
0370200720, 060992, 175014,   47.5,  0.223,
0370200719, 060992, 174857,   77.4,  0.223,
0370200718, 060992, 174745,  103.7,  0.185,
0370200717, 060992, 174631,  129.0,  0.216,
0380200318, 070492, 234736,   25.5,  0.293,
0380200317, 070492, 234640,   25.6,  0.279,
0380200315, 070492, 234325,   73.2,  0.390,
0380200313, 070492, 234110,  101.1,  0.307,
0380200312, 070492, 233924,  124.5,  0.216,
0380200311, 070492, 233822,  129.4,  0.286,
0380200310, 070492, 233722,  134.3,  0.195,
0380200309, 070492, 233613,  140.2,  0.139,
0380201112, 070592, 222058,   50.9,  0.397,
0380201111, 070592, 222045,   50.8,  0.537,
0380201110, 070592, 222033,   50.7,  0.376,
0380201107, 070592, 221627,  135.8,  0.195,
0380201106, 070592, 221614,  135.8,  0.153,
0380201105, 070592, 221603,  135.8,  0.167,
0390201415, -00009, -00009,    9.6,  0.384,
0390201414, 080692, 144124,   29.6,  0.377,
0390201413, 080692, 144027,   49.1,  0.411,
0390201412, 080692, 143912,   79.3,  0.349,
0390201410, 080692, 143641,  104.4,  0.363,
0390201409, 080692, 143602,  128.6,  0.192,
0400200423, -00009, -00009,    6.6,  0.418,
0400200420, -00009, -00009,   25.6,  0.464,
0400200417, -00009, -00009,   44.5,  0.411,
0400200414, -00009, -00009,   75.7,  0.397,
0400200413, -00009, -00009,  100.4,  0.387,
0400200412, -00009, -00009,  120.0,  0.363,
0400200411, -00009, -00009,  125.2,  0.342,
0400200410, -00009, -00009,  130.1,  0.321,
0400200409, -00009, -00009,  135.1,  0.397,
0400200408, -00009, -00009,  140.3,  0.383,
0410200424, -00009, -00009,    2.8,  0.502,
0410200423, -00009, -00009,    6.5,  0.383,
0410200422, -00009, -00009,   10.4,  0.390,
0410200421, -00009, -00009,   15.4,  0.383,
0410200420, -00009, -00009,   20.4,  0.383,
0410200419, -00009, -00009,   25.3,  0.453,
0410200418, -00009, -00009,   30.4,  0.474,
0410200417, -00009, -00009,   40.6,  0.481,
0410200413, -00009, -00009,   76.4,  0.404,
0410200412, -00009, -00009,   91.6,  0.335,
0410200411, -00009, -00009,  100.8,  0.220,
0410200410, -00009, -00009,  105.7,  0.244,
0410200409, -00009, -00009,  110.8,  0.216,
0410200408, -00009, -00009,  119.9,  0.202,
0410200407, -00009, -00009,  125.4,  0.181,
0410200406, -00009, -00009,  149.7,  0.153,
0410201712, -00009, -00009,   99.9,  0.209,
0420200412, -00009, -00009,    5.0,  0.384,
0420200411, -00009, -00009,   45.0,  0.411,
0420200410, -00009, -00009,   80.0,  0.404,
0420200409, -00009, -00009,  100.0,  0.275,
0420200408, -00009, -00009,  150.0,  0.132,
0420200511, -00009, -00009,   25.0,  0.453,
0420200510, -00009, -00009,   60.0,  0.418,
0420200506, -00009, -00009,  110.0,  0.342,
0420200505, -00009, -00009,  125.0,  0.258,
0430200812, -00009, -00009,    5.0,  0.321,
0430200811, -00009, -00009,   25.0,  0.418,
